Universitas,Program,Tahun,Penerimaan,Program_Studi,UKT-1,UKT-2,UKT-3,UKT-4,UKT-5,UKT-6,UKT-7,UKT-8,UKT-9,UKT-10,UKT-11
UGM,S1,2025/2026,SNBP/SNBT,Pariwisata,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Statistika,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Matematika,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Ilmu Aktuaria,0,0,2500000,5000000,7500000,10000000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Arkeologi,0,0,2300000,4600000,6900000,9200000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Pembangunan Wilayah,0,0,2256000,4512000,6768000,9025000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Bahasa dan Sastra Prancis,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Sastra Arab,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Bahasa dan Sastra Indonesia,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Bahasa dan Kebudayaan Korea,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Bahasa dan Kebudayaan Jepang,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Bahasa Sastra dan Budaya Jawa,0,0,1900000,3800000,5700000,7600000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Sastra Inggris,0,0,2200000,4400000,6600000,8664000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Politik dan Pemerintahan,0,0,2053000,4107000,6160000,8214000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Antropologi Budaya,0,0,2053000,4107000,6160000,7885000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Sejarah,0,0,2053000,4107000,6160000,7885000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Sosiologi,0,0,1889000,3778000,5667000,7557000,,,,,
UGM,S1,2025/2026,SNBP/SNBT,Filsafat,0,0,1889000,3778000,5667000,7557000,,,,,
UI,D4,2025/2026,SNBP/SNBT,Sarjana Terapan Fisioterapi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,15000000,
UI,D4,2025/2026,SNBP/SNBT,Sarjana Terapan Terapi Okupasi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,15000000,
UI,D4,2025/2026,SNBP/SNBT,Sarjana Terapan Bisnis Kreatif,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D4,2025/2026,SNBP/SNBT,Sarjana Terapan Manajemen Bisnis Pariwisata,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D4,2025/2026,SNBP/SNBT,Sarjana Terapan Manajemen Rekod dan Arsip,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D4,2025/2026,SNBP/SNBT,Sarjana Terapan Produksi Media,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,15000000,
UI,D3,2025/2026,SNBP/SNBT,Administrasi Asuransi dan Aktuaria,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,14000000,
UI,D3,2025/2026,SNBP/SNBT,Akuntansi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Administrasi Keuangan dan Perbankan,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Administrasi Perkantoran,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Administrasi Perpajakan,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Hubungan Masyarakat,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Periklanan Kreatif,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Penyiaran Multimedia,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,13000000,
UI,D3,2025/2026,SNBP/SNBT,Administrasi Rumah Sakit,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,10000000,14000000,
UI,S1,2025/2026,SNBP/SNBT,Pendidikan Dokter,,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000
UI,S1,2025/2026,SNBP/SNBT,Kedokteran Gigi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Keperawatan,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Farmasi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Gizi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19800000
UI,S1,2025/2026,SNBP/SNBT,Kesehatan Lingkungan,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19800000
UI,S1,2025/2026,SNBP/SNBT,Kesehatan Masyarakat,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Keselamatan dan Kesehatan Kerja,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Biologi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,18300000
UI,S1,2025/2026,SNBP/SNBT,Fisika,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,18300000
UI,S1,2025/2026,SNBP/SNBT,Geofisika,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19000000
UI,S1,2025/2026,SNBP/SNBT,Geografi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19000000
UI,S1,2025/2026,SNBP/SNBT,Geologi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,16900000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Aktuaria,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,12800000
UI,S1,2025/2026,SNBP/SNBT,Kimia,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,18300000
UI,S1,2025/2026,SNBP/SNBT,Matematika,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,17300000
UI,S1,2025/2026,SNBP/SNBT,Statistika,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,18100000
UI,S1,2025/2026,SNBP/SNBT,Arsitektur,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19100000
UI,S1,2025/2026,SNBP/SNBT,Arsitektur Interior,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19100000
UI,S1,2025/2026,SNBP/SNBT,Teknik Biomedik,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19200000
UI,S1,2025/2026,SNBP/SNBT,Teknik Bioproses,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Teknik Elektro,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Teknik Industri,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Teknik Kimia,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Teknik Komputer,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Teknik Lingkungan,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Teknik Mesin,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Teknik Metalurgi & Material,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Teknik Perkapalan,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Teknik Sipil,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,19900000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Komputer,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Sistem Informasi,500000,1000000,2000000,4000000,6000000,7500000,10000000,12500000,15000000,17500000,20000000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Hukum,500000,1000000,2000000,3000000,5000000,7500000,10000000,12500000,15000000,17500000,14600000
UI,S1,2025/2026,SNBP/SNBT,Akuntansi,500000,1000000,2000000,4000000,5000000,7500000,10000000,12500000,15000000,17500000,14600000
UI,S1,2025/2026,SNBP/SNBT,Bisnis Islam,500000,1000000,2000000,3000000,5000000,7500000,10000000,12500000,15000000,17500000,14600000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Ekonomi,500000,1000000,2000000,4000000,5000000,7500000,10000000,12500000,15000000,17500000,14600000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Ekonomi Islam,500000,1000000,2000000,4000000,5000000,7500000,10000000,12500000,15000000,17500000,14600000
UI,S1,2025/2026,SNBP/SNBT,Manajemen,500000,1000000,2000000,3000000,5000000,7500000,10000000,12500000,15000000,17500000,14600000
UI,S1,2025/2026,SNBP/SNBT,Arkeologi,500000,1000000,2000000,3000000,4000000,7500000,10000000,12500000,15000000,17500000,9000000
UI,S1,2025/2026,SNBP/SNBT,Bahasa dan Kebudayaan Korea,500000,1000000,2000000,3000000,4000000,7500000,10000000,12500000,15000000,17500000,8300000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Filsafat,500000,1000000,2000000,3000000,4000000,7500000,10000000,12500000,15000000,17500000,8000000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Perpustakaan,500000,1000000,2000000,3000000,4000000,7500000,10000000,12500000,15000000,17500000,8600000
UI,S1,2025/2026,SNBP/SNBT,Ilmu Sejarah,500000,1000000,2000000,3000000,4000000,7500000,10000000,12500000,15000000,17500000,7800000
UI,S1,2025/2026,SNBP/SNBT,Sastra Arab,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Belanda,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Cina,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Daerah untuk Sastra Jawa,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Indonesia,500000,1000000,2000000,3000000,4000000,5000000,7500000,8600000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Inggris,500000,1000000,2000000,3000000,4000000,5000000,7500000,8600000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Jepang,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Jerman,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Perancis,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Sastra Rusia,500000,1000000,2000000,3000000,4000000,5000000,7500000,8300000,,,
UI,S1,2025/2026,SNBP/SNBT,Psikologi,500000,1000000,2000000,3000000,4000000,5000000,7500000,10000000,12500000,14000000,
